WigleWifi-1.4,appRelease=1.57,model=Inspire 4G,release=2.3.5,device=ace,display=GRJ90,board=spade,brand=htc_wwe
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:18:01:f1:ef:12,QS993,[WEP],2013-08-24 22:35:23,6,-93,40.1306857,-75.13429157,62.5,29,WIFI
00:1f:90:e3:09:e7,12Z70,[WEP],2013-08-24 22:35:23,1,-90,40.1306857,-75.13429157,62.5,29,WIFI
00:13:f7:12:74:fb,Pool,[WEP],2013-08-24 22:35:23,11,-78,40.1306857,-75.13429157,62.5,29,WIFI
00:7f:28:3e:0c:7e,fisher,[WEP],2013-08-24 22:35:23,6,-59,40.1306857,-75.13429157,62.5,29,WIFI
310410_2976_142425095,AT&T,HSDPA;us,2013-08-24 22:35:23,0,-109,40.1306857,-75.13429157,62.5,29,GSM
08:86:3b:62:a5:8e,belkin.58e,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][WPS],2013-08-24 22:35:45,1,-96,40.13073569,-75.13424165,51,15,WIFI
00:18:01:ff:6b:63,TheChristopher's,[WEP],2013-08-24 22:37:30,1,-95,40.13074291,-75.13423354,49.2000007629395,12,WIFI
310410_2976_142425089,AT&T,HSDPA;us,2013-08-24 22:37:30,0,-113,40.13074291,-75.13423354,49.2000007629395,12,GSM
00:1f:90:b7:fb:fc,ZGES5,[WEP],2013-08-25 16:41:27,11,-97,40.13102464,-75.1344209,43.2999992370605,35,WIFI
00:18:01:ff:6b:63,TheChristopher's,[WEP],2013-08-25 16:41:27,1,-92,40.13102464,-75.1344209,43.2999992370605,35,WIFI
9c:d3:6d:bb:a7:dd,NETGEAR02,[WPA2-PSK-CCMP][WPS][WPS],2013-08-25 16:41:27,7,-90,40.13102464,-75.1344209,43.2999992370605,35,WIFI
00:18:01:f8:a1:5a,XMBM4,[WEP],2013-08-25 16:41:27,6,-89,40.13102464,-75.1344209,43.2999992370605,35,WIFI
08:86:3b:62:a5:8e,belkin.58e,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][WPS],2013-08-25 16:41:27,1,-87,40.13102464,-75.1344209,43.2999992370605,35,WIFI
00:18:01:f1:ef:12,QS993,[WEP],2013-08-25 16:41:27,6,-87,40.13102464,-75.1344209,43.2999992370605,35,WIFI
00:13:f7:12:74:fb,Pool,[WEP],2013-08-25 16:41:27,11,-87,40.13102464,-75.1344209,43.2999992370605,35,WIFI
00:1f:90:e3:09:e7,12Z70,[WEP],2013-08-25 16:41:27,1,-77,40.13102464,-75.1344209,43.2999992370605,35,WIFI
00:7f:28:3e:0c:7e,fisher,[WEP],2013-08-25 16:41:27,6,-74,40.13102464,-75.1344209,43.2999992370605,35,WIFI
310410_2976_142425095,AT&T,HSDPA;us,2013-08-25 16:41:27,0,-95,40.13102464,-75.1344209,43.2999992370605,35,GSM
84:34:97:fd:e2:93,HP-Print-93-Photosmart 6520,[WPA2-PSK-CCMP],2013-08-25 16:41:30,6,-93,40.1308421,-75.13433339,52.5,15,WIFI
00:22:3f:7a:20:5e,cinda wireless,[WPA-PSK-TKIP][WPS][WPS],2013-08-25 16:41:30,6,-91,40.1308421,-75.13433339,52.5,15,WIFI
00:26:62:b1:82:e1,8DCX6,[WEP],2013-08-25 16:41:32,6,-95,40.13090402,-75.13429715,45.7999992370605,10,WIFI
f8:e4:fb:1f:51:25,YF6X4,[WPA2-PSK-CCMP],2013-08-25 16:41:32,6,-88,40.13090402,-75.13429715,45.7999992370605,10,WIFI
f8:e4:fb:0d:70:60,59593,[WPA2-PSK-CCMP],2013-08-25 16:41:40,6,-91,40.1309274,-75.13428344,46.7000007629395,5,WIFI
