MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
20:4e:7f:91:b1:2f,arg5,[WPA2-PSK-CCMP],2013-08-28 14:26:17,4,-99,39.99141331,-75.10219701,-37.5999984741211,8,WIFI
00:17:c5:50:a0:07,DynamicPT,[WPA-PSK-CCMP],2013-08-28 14:26:25,2,-93,39.99143703,-75.10213158,-37.7000007629395,5,WIFI
00:0d:67:46:d8:3f,xfinitywifi,,2013-08-28 14:26:31,1,-95,39.99143879,-75.10211845,-36.4000015258789,4,WIFI
e0:46:9a:45:43:f8,L0PYHD8C,[WPA2-PSK-CCMP][WPS][WPS],2013-08-28 14:26:45,11,-88,39.99178583,-75.10229527,-36.2999992370605,3,WIFI
310410_2968_142087253,AT&T,HSDPA;us,2013-08-28 14:26:53,0,-83,39.99207906,-75.10251214,-37.4000015258789,6,GSM
310410_2968_142087252,AT&T,HSDPA;us,2013-08-28 14:27:01,0,-79,39.99220241,-75.10266169,-36.7999992370605,4,GSM
00:11:50:08:9e:57,belkin54g,,2013-08-28 14:27:12,11,-93,39.99277007,-75.1031846,-35,4,WIFI
310410_2968_142087252,AT&T,HSDPA;us,2013-08-28 14:27:21,0,-71,39.9932468,-75.10358209,-36.2000007629395,6,GSM
310410_2968_142087252,AT&T,HSDPA;us,2013-08-28 14:27:38,0,-81,39.99431652,-75.10456763,-34.5,7,GSM
08:86:3b:21:b6:6e,belkin.66e,[WPA2-PSK-CCMP][WPS][WPS],2013-08-28 14:27:44,11,-93,39.99463208,-75.10482446,-37.0999984741211,4,WIFI
0a:86:3b:21:b6:6f,belkin.66e.guests,[WPS][WPS],2013-08-28 14:27:44,11,-93,39.99463208,-75.10482446,-37.0999984741211,4,WIFI
24:db:ac:81:65:fd,T-Mobile myTouchQ 12,[WPA2-PSK-CCMP],2013-08-28 14:27:50,6,-96,39.99483165,-75.10500044,-38.0999984741211,4,WIFI
00:e0:98:fb:49:a7,ABC Screen Printing,[WEP],2013-08-28 14:27:50,6,-95,39.99483165,-75.10500044,-38.0999984741211,4,WIFI
00:7f:28:83:82:03,MXD7G,[WPA2-PSK-TKIP+CCMP],2013-08-28 14:27:50,6,-94,39.99483165,-75.10500044,-38.0999984741211,4,WIFI
84:1b:5e:d3:1c:c5,NETGEAR20,[WPA2-PSK-CCMP][WPS][WPS],2013-08-28 14:30:50,6,-95,39.99506665,-75.10515369,-28.6000003814697,4,WIFI
e8:3e:fc:d2:d2:50,HOME-D252,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:30:52,1,-96,39.99513245,-75.10523138,-24.1000003814697,4,WIFI
ee:3e:fc:d2:d2:50,xfinitywifi,,2013-08-28 14:30:52,1,-95,39.99513245,-75.10523138,-24.1000003814697,4,WIFI
cc:b2:55:3c:67:56,ccb2553c6754,[WPA2-PSK-TKIP+CCMP][WPS][WPS],2013-08-28 14:30:56,6,-98,39.99529937,-75.10536905,-22.3999996185303,8,WIFI
00:a0:0a:ae:74:1d,VSSEPTA5547,[WPA2-PSK-CCMP-preauth],2013-08-28 14:30:58,11,-96,39.99535102,-75.10542601,-22.2000007629395,8,WIFI
00:7f:28:f6:86:87,3AAM9,[WEP],2013-08-28 14:30:58,6,-93,39.99535102,-75.10542601,-22.2000007629395,8,WIFI
310410_2968_142087252,AT&T,HSDPA;us,2013-08-28 14:30:58,0,-79,39.99535102,-75.10542601,-22.2000007629395,8,GSM
00:18:3a:e1:8f:6d,08FX11003156,[WEP],2013-08-28 14:31:42,6,-97,39.99556933,-75.10554471,-21.7999992370605,18,WIFI
310410_2968_142087254,AT&T,HSDPA;us,2013-08-28 14:31:53,0,-87,39.99510372,-75.10630948,-24.6000003814697,15,GSM
