MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
20:4e:7f:91:b1:2f,arg5,[WPA2-PSK-CCMP],2013-08-28 14:26:17,4,-99,39.99141331,-75.10219701,-37.5999984741,8,WIFI
00:17:c5:50:a0:07,DynamicPT,[WPA-PSK-CCMP],2013-08-28 14:26:25,2,-93,39.99143703,-75.10213158,-37.7000007629,5,WIFI
00:0d:67:46:d8:3f,xfinitywifi,,2013-08-28 14:26:31,1,-95,39.99143879,-75.10211845,-36.4000015259,4,WIFI
e0:46:9a:45:43:f8,L0PYHD8C,[WPA2-PSK-CCMP][WPS][WPS],2013-08-28 14:26:45,11,-88,39.99178583,-75.10229527,-36.2999992371,3,WIFI
310410_2968_142087253,AT&T,HSDPA;us,2013-08-28 14:26:53,0,-83,39.99207906,-75.10251214,-37.4000015259,6,GSM
310410_2968_142087252,AT&T,HSDPA;us,2013-08-28 14:27:01,0,-79,39.99220241,-75.10266169,-36.7999992371,4,GSM
00:11:50:08:9e:57,belkin54g,,2013-08-28 14:27:12,11,-93,39.99277007,-75.1031846,-35,4,WIFI
310410_2968_142087252,AT&T,HSDPA;us,2013-08-28 14:27:21,0,-71,39.9932468,-75.10358209,-36.2000007629,6,GSM
310410_2968_142087252,AT&T,HSDPA;us,2013-08-28 14:27:38,0,-81,39.99431652,-75.10456763,-34.5,7,GSM
08:86:3b:21:b6:6e,belkin.66e,[WPA2-PSK-CCMP][WPS][WPS],2013-08-28 14:27:44,11,-93,39.99463208,-75.10482446,-37.0999984741,4,WIFI
0a:86:3b:21:b6:6f,belkin.66e.guests,[WPS][WPS],2013-08-28 14:27:44,11,-93,39.99463208,-75.10482446,-37.0999984741,4,WIFI
24:db:ac:81:65:fd,T-Mobile myTouchQ 12,[WPA2-PSK-CCMP],2013-08-28 14:27:50,6,-96,39.99483165,-75.10500044,-38.0999984741,4,WIFI
00:e0:98:fb:49:a7,ABC Screen Printing,[WEP],2013-08-28 14:27:50,6,-95,39.99483165,-75.10500044,-38.0999984741,4,WIFI
